id_promocion,vigencia_promocion,precio_promocion,,,
5010,2022-10-23 12:00:00,,,,
5011,2022-10-24 13:00:00,,,,
5012,2022-10-25 14:00:00,,,,
5013,2022-10-26 15:00:00,,,,
5014,2022-10-27 16:00:00,,,,
5015,2022-10-28 17:00:00,,,,
5016,2022-10-29 18:00:00,,,,
5017,2022-10-30 19:00:00,,,,
5018,2022-10-31 20:00:00,,,,
5019,2022-11-01 21:00:00,,,,
5020,2022-11-02 22:00:00,,,,
5021,2022-11-03 23:00:00,,,,
5022,2022-11-05 00:00:00,,,,
5023,2022-11-06 01:00:00,,,,
5024,2022-11-07 02:00:00,,,,
5025,2022-11-08 03:00:00,,,,
5026,2022-11-09 04:00:00,,,,
5027,2022-11-10 05:00:00,,,,
5028,2022-11-11 06:00:00,,,,
5029,2022-11-12 07:00:00,,,,
,,,,,
